instrument,hour_utc,url,acquisition_1_status,acquisition_2_status,acquisition_1_body_sha256,acquisition_2_body_sha256,acquisition_1_tick_sha256,acquisition_2_tick_sha256,acquisition_1_ticks,acquisition_2_ticks,state,decode_error_1,decode_error_2
EUR/USD,2016-07-01T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/19h_ticks.bi5,200,200,4d1ee75856d3631c293892c9f3ac0194abb231cf3dd94560e7e1ee825ad5e3d0,4d1ee75856d3631c293892c9f3ac0194abb231cf3dd94560e7e1ee825ad5e3d0,55dbb0165280bf3b96c8d4563cc29d0e3513d438421ad2384bee133b6e48436c,55dbb0165280bf3b96c8d4563cc29d0e3513d438421ad2384bee133b6e48436c,3153.0,3153.0,ticks,,
EUR/USD,2016-07-01T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/20h_ticks.bi5,200,200,884a1323eee16d1799487da9faff73f2d509159598fb6ca984eb29a8c4196af4,884a1323eee16d1799487da9faff73f2d509159598fb6ca984eb29a8c4196af4,82b2f0e9ecced84b3f2581fe60c4f21056c69d74e42b9b50fab5d97afc81c4c4,82b2f0e9ecced84b3f2581fe60c4f21056c69d74e42b9b50fab5d97afc81c4c4,2227.0,2227.0,ticks,,
EUR/USD,2016-07-01T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/21h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-01T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/22h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-01T23:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/01/23h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T00:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/00h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T01:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/01h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T02:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/02h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T03:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/03h_ticks.bi5,200,429,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,00263559f89985697555da4ae87977c2fb2fd72858dd9ca6d4415c168f2594d4,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,,0.0,,retrieval_error,,
EUR/USD,2016-07-02T04:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/04h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T05:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/05h_ticks.bi5,200,429,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,00263559f89985697555da4ae87977c2fb2fd72858dd9ca6d4415c168f2594d4,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,,0.0,,retrieval_error,,
EUR/USD,2016-07-02T06:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/06h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T07:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/07h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T08:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/08h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T09:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/09h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T10:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/10h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T11:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/11h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T12:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/12h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T13:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/13h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T14:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/14h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T15:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/15h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T16:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/16h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T17:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/17h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T18:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/18h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/19h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/20h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/21h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/22h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-02T23:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/02/23h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T00:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/00h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T01:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/01h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T02:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/02h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T03:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/03h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T04:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/04h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T05:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/05h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T06:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/06h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T07:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/07h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T08:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/08h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T09:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/09h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T10:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/10h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T11:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/11h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T12:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/12h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T13:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/13h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T14:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/14h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T15:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/15h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T16:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/16h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T17:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/17h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T18:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/18h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/19h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/20h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
EUR/USD,2016-07-03T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/06/03/21h_ticks.bi5,200,200,f5f09e42a112f61de534cb5f4ec945fafe53dd3484033ad89868a271f4bd221e,f5f09e42a112f61de534cb5f4ec945fafe53dd3484033ad89868a271f4bd221e,9cd307f1c244810ed325a568ceef960a5e4d0fea34aae96411147ecf73d72c6e,9cd307f1c244810ed325a568ceef960a5e4d0fea34aae96411147ecf73d72c6e,730.0,730.0,ticks,,
EUR/USD,2016-12-23T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/20h_ticks.bi5,200,200,6e60cd10ebd8f19ccb849dfa5d3051d77b13002c1ba642421926a39bc9f03c7c,6e60cd10ebd8f19ccb849dfa5d3051d77b13002c1ba642421926a39bc9f03c7c,d5f84cec68f4806ad1afe93407dde6cfaa62c244ea3d4e090b6c2b587a3519f6,d5f84cec68f4806ad1afe93407dde6cfaa62c244ea3d4e090b6c2b587a3519f6,1778.0,1778.0,ticks,,
EUR/USD,2016-12-23T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/21h_ticks.bi5,200,200,8201473aaf7ab94deea32f2be3cd66779752cb201299dccfb3acb29d1802de66,8201473aaf7ab94deea32f2be3cd66779752cb201299dccfb3acb29d1802de66,8088b739bf9a7c9fabcd664255e77c685ed155d6928eb17a6eb4c4226fb77c1c,8088b739bf9a7c9fabcd664255e77c685ed155d6928eb17a6eb4c4226fb77c1c,1607.0,1607.0,ticks,,
EUR/USD,2016-12-23T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/EURUSD/2016/11/23/22h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
